
Balances trimestrales de criminalidad - 2018. 3º Trimestre
Indicadores de seguridad 2018 - 3er Trimestre por comunidades  autónomas, tipología penal y periodos.
Unidades: Hechos conocidos

,Enero-septiembre 2017,Enero-septiembre 2018,Variación % 2018/2017,
EXTREMADURA,
    1.-Homicidios dolosos y asesinatos consumados,7.0,2.0,-71.4,
    2.-Homicidios dolosos y asesinatos en grado tentativa,10.0,10.0,0.0,
    3.-Delitos graves y menos graves de lesiones y riña tumultuaria,274.0,270.0,-1.5,
    4.-Secuestro,0.0,0.0,0.0,
    5.-Delitos contra la libertad e indemnidad sexual,120.0,170.0,41.7,
    5.1.-Agresión sexual con penetración,7.0,16.0,128.6,
    5.2.-Resto de delitos contra la libertad e indemnidad sexual,113.0,154.0,36.3,
    6.-Robos con violencia e intimidación,207.0,194.0,-6.3,
    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones,1545.0,1461.0,-5.4,
    7.1.-Robos con fuerza en domicilios,918.0,859.0,-6.4,
    8.-Hurtos,5359.0,4929.0,-8.0,
    9.-Sustracciones de vehículos,259.0,119.0,-54.1,
    10.-Tráfico de drogas,147.0,174.0,18.4,
    TOTAL INFRACCIONES PENALES,19706.0,19525.0,-0.9,
GALICIA,
    1.-Homicidios dolosos y asesinatos consumados,10.0,6.0,-40.0,
    2.-Homicidios dolosos y asesinatos en grado tentativa,22.0,14.0,-36.4,
    3.-Delitos graves y menos graves de lesiones y riña tumultuaria,667.0,719.0,7.8,
    4.-Secuestro,3.0,1.0,-66.7,
    5.-Delitos contra la libertad e indemnidad sexual,363.0,396.0,9.1,
    5.1.-Agresión sexual con penetración,36.0,44.0,22.2,
    5.2.-Resto de delitos contra la libertad e indemnidad sexual,327.0,352.0,7.6,
    6.-Robos con violencia e intimidación,800.0,724.0,-9.5,
    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones,4053.0,4132.0,1.9,
    7.1.-Robos con fuerza en domicilios,2519.0,2613.0,3.7,
    8.-Hurtos,15414.0,15092.0,-2.1,
    9.-Sustracciones de vehículos,627.0,429.0,-31.6,
    10.-Tráfico de drogas,294.0,321.0,9.2,
