
Balances trimestrales de criminalidad - 2018. 2º Trimestre
Indicadores de seguridad 2018 - 2º Trimestre por comunidades  autónomas, tipología penal y periodos.
Unidades: Hechos conocidos

,Enero-junio 2017,Enero-junio 2018,Variación % 2018/2017,
    1.-Homicidios dolosos y asesinatos consumados,2.0,5.0,150.0,
    2.-Homicidios dolosos y asesinatos en grado tentativa,25.0,16.0,-36.0,
    3.-Delitos graves y menos graves de lesiones y riña tumultuaria,533.0,500.0,-6.2,
    4.-Secuestro,4.0,0.0,-100.0,
    5.-Delitos contra la libertad e indemnidad sexual,247.0,320.0,29.6,
    5.1.-Agresión sexual con penetración,34.0,52.0,52.9,
    5.2.-Resto de delitos contra la libertad e indemnidad sexual,213.0,268.0,25.8,
    6.-Robos con violencia e intimidación,746.0,802.0,7.5,
    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones,3246.0,4115.0,26.8,
    7.1.-Robos con fuerza en domicilios,1735.0,2271.0,30.9,
    8.-Hurtos,13201.0,13313.0,0.8,
    9.-Sustracciones de vehículos,383.0,418.0,9.1,
    10.-Tráfico de drogas,163.0,171.0,4.9,
    TOTAL INFRACCIONES PENALES,40424.0,42816.0,5.9,
RIOJA (LA),
    1.-Homicidios dolosos y asesinatos consumados,0.0,0.0,0.0,
    2.-Homicidios dolosos y asesinatos en grado tentativa,4.0,1.0,-75.0,
    3.-Delitos graves y menos graves de lesiones y riña tumultuaria,66.0,56.0,-15.2,
    4.-Secuestro,0.0,0.0,0.0,
    5.-Delitos contra la libertad e indemnidad sexual,23.0,22.0,-4.3,
    5.1.-Agresión sexual con penetración,2.0,3.0,50.0,
    5.2.-Resto de delitos contra la libertad e indemnidad sexual,21.0,19.0,-9.5,
    6.-Robos con violencia e intimidación,43.0,44.0,2.3,
    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones,367.0,336.0,-8.4,
    7.1.-Robos con fuerza en domicilios,295.0,249.0,-15.6,
    8.-Hurtos,1245.0,1142.0,-8.3,
    9.-Sustracciones de vehículos,48.0,46.0,-4.2,
    10.-Tráfico de drogas,44.0,39.0,-11.4,
    TOTAL INFRACCIONES PENALES,3870.0,3796.0,-1.9,
CIUDAD AUTÓNOMA DE CEUTA,
    1.-Homicidios dolosos y asesinatos consumados,1.0,1.0,0.0,
    2.-Homicidios dolosos y asesinatos en grado tentativa,2.0,0.0,-100.0,
    3.-Delitos graves y menos graves de lesiones y riña tumultuaria,30.0,27.0,-10.0,
    4.-Secuestro,0.0,0.0,0.0,
    5.-Delitos contra la libertad e indemnidad sexual,13.0,28.0,115.4,
    5.1.-Agresión sexual con penetración,1.0,3.0,200.0,
    5.2.-Resto de delitos contra la libertad e indemnidad sexual,12.0,25.0,108.3,
    6.-Robos con violencia e intimidación,58.0,64.0,10.3,
    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones,47.0,46.0,-2.1,
    7.1.-Robos con fuerza en domicilios,31.0,34.0,9.7,
    8.-Hurtos,401.0,382.0,-4.7,
    9.-Sustracciones de vehículos,105.0,129.0,22.9,
    10.-Tráfico de drogas,164.0,100.0,-39.0,
    TOTAL INFRACCIONES PENALES,2338.0,2183.0,-6.6,
CIUDAD AUTÓNOMA DE MELILLA,
    1.-Homicidios dolosos y asesinatos consumados,0.0,0.0,0.0,
    2.-Homicidios dolosos y asesinatos en grado tentativa,3.0,0.0,-100.0,
    3.-Delitos graves y menos graves de lesiones y riña tumultuaria,42.0,50.0,19.0,
    4.-Secuestro,0.0,0.0,0.0,
    5.-Delitos contra la libertad e indemnidad sexual,14.0,14.0,0.0,
    5.1.-Agresión sexual con penetración,0.0,0.0,0.0,
    5.2.-Resto de delitos contra la libertad e indemnidad sexual,14.0,14.0,0.0,
    6.-Robos con violencia e intimidación,173.0,161.0,-6.9,
    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones,78.0,63.0,-19.2,
    7.1.-Robos con fuerza en domicilios,56.0,41.0,-26.8,
    8.-Hurtos,541.0,580.0,7.2,
    9.-Sustracciones de vehículos,57.0,36.0,-36.8,
    10.-Tráfico de drogas,25.0,25.0,0.0,
    TOTAL INFRACCIONES PENALES,2246.0,2462.0,9.6,
FUERA DE ESPAÑA,
    1.-Homicidios dolosos y asesinatos consumados,0.0,0.0,0.0,
    2.-Homicidios dolosos y asesinatos en grado tentativa,0.0,0.0,0.0,
    3.-Delitos graves y menos graves de lesiones y riña tumultuaria,2.0,0.0,-100.0,
    4.-Secuestro,3.0,2.0,-33.3,
    5.-Delitos contra la libertad e indemnidad sexual,31.0,20.0,-35.5,
    5.1.-Agresión sexual con penetración,6.0,3.0,-50.0,
    5.2.-Resto de delitos contra la libertad e indemnidad sexual,25.0,17.0,-32.0,
