
Balance de criminalidad. 2021 - 4º Trimestre - CCAA
Indicadores de seguridad 2021 - 4º Trimestre por comunidades  autónomas, tipología penal y periodos.
Unidades: Hechos conocidos

,Enero-diciembre 2020,Enero-diciembre 2021,Variación % 2021/2020,
    2.-Homicidios dolosos y asesinatos en grado tentativa,150.0,216.0,44.0,
    3.-Delitos graves y menos graves de lesiones y riña tumultuaria,2216.0,3134.0,41.4,
    4.-Secuestro,3.0,11.0,266.7,
    5.-Delitos contra la libertad e indemnidad sexual,2306.0,3316.0,43.8,
    5.1.-Agresión sexual con penetración,387.0,608.0,57.1,
    5.2.-Resto de delitos contra la libertad e indemnidad sexual,1919.0,2708.0,41.1,
    6.-Robos con violencia e intimidación,17082.0,20501.0,20.0,
    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones,24907.0,22852.0,-8.3,
    7.1.-Robos con fuerza en domicilios,17116.0,16631.0,-2.8,
    8.-Hurtos,110685.0,118746.0,7.3,
    9.-Sustracciones de vehículos,6130.0,6168.0,0.6,
    10.-Tráfico de drogas,2946.0,3874.0,31.5,
    Resto de infracciones penales,186579.0,211484.0,13.3,
    TOTAL INFRACCIONES PENALES,353052.0,390356.0,10.6,
COMUNITAT VALENCIANA,
    1.-Homicidios dolosos y asesinatos consumados,37.0,35.0,-5.4,
    2.-Homicidios dolosos y asesinatos en grado tentativa,89.0,117.0,31.5,
    3.-Delitos graves y menos graves de lesiones y riña tumultuaria,1731.0,2406.0,39.0,
    4.-Secuestro,14.0,7.0,-50.0,
    5.-Delitos contra la libertad e indemnidad sexual,1518.0,2173.0,43.1,
    5.1.-Agresión sexual con penetración,186.0,236.0,26.9,
    5.2.-Resto de delitos contra la libertad e indemnidad sexual,1332.0,1937.0,45.4,
    6.-Robos con violencia e intimidación,3772.0,4578.0,21.4,
    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones,15187.0,15920.0,4.8,
    7.1.-Robos con fuerza en domicilios,11681.0,12853.0,10.0,
    8.-Hurtos,43801.0,57738.0,31.8,
    9.-Sustracciones de vehículos,2377.0,2491.0,4.8,
    10.-Tráfico de drogas,1863.0,1983.0,6.4,
    Resto de infracciones penales,122833.0,137889.0,12.3,
    TOTAL INFRACCIONES PENALES,193222.0,225337.0,16.6,
EXTREMADURA,
    1.-Homicidios dolosos y asesinatos consumados,9.0,4.0,-55.6,
    2.-Homicidios dolosos y asesinatos en grado tentativa,12.0,21.0,75.0,
    3.-Delitos graves y menos graves de lesiones y riña tumultuaria,251.0,302.0,20.3,
    4.-Secuestro,0.0,0.0,0.0,
    5.-Delitos contra la libertad e indemnidad sexual,184.0,223.0,21.2,
    5.1.-Agresión sexual con penetración,14.0,26.0,85.7,
    5.2.-Resto de delitos contra la libertad e indemnidad sexual,170.0,197.0,15.9,
    6.-Robos con violencia e intimidación,211.0,224.0,6.2,
    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones,1573.0,1461.0,-7.1,
    7.1.-Robos con fuerza en domicilios,990.0,962.0,-2.8,
    8.-Hurtos,4228.0,4820.0,14.0,
    9.-Sustracciones de vehículos,151.0,152.0,0.7,
    10.-Tráfico de drogas,301.0,324.0,7.6,
    Resto de infracciones penales,18121.0,19735.0,8.9,
    TOTAL INFRACCIONES PENALES,25041.0,27266.0,8.9,
GALICIA,
    1.-Homicidios dolosos y asesinatos consumados,11.0,18.0,63.6,
    2.-Homicidios dolosos y asesinatos en grado tentativa,33.0,34.0,3.0,
    3.-Delitos graves y menos graves de lesiones y riña tumultuaria,804.0,945.0,17.5,
    4.-Secuestro,0.0,0.0,0.0,
    5.-Delitos contra la libertad e indemnidad sexual,547.0,707.0,29.3,
    5.1.-Agresión sexual con penetración,61.0,81.0,32.8,
    5.2.-Resto de delitos contra la libertad e indemnidad sexual,486.0,626.0,28.8,
    6.-Robos con violencia e intimidación,767.0,853.0,11.2,
    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones,4047.0,3760.0,-7.1,
    7.1.-Robos con fuerza en domicilios,2403.0,2593.0,7.9,
    8.-Hurtos,12348.0,15367.0,24.4,
    9.-Sustracciones de vehículos,437.0,405.0,-7.3,
    10.-Tráfico de drogas,552.0,458.0,-17.0,
    Resto de infracciones penales,53798.0,65708.0,22.1,
    TOTAL INFRACCIONES PENALES,73344.0,88255.0,20.3,
MADRID (COMUNIDAD DE),
    1.-Homicidios dolosos y asesinatos consumados,38.0,37.0,-2.6,
    2.-Homicidios dolosos y asesinatos en grado tentativa,98.0,94.0,-4.1,
    3.-Delitos graves y menos graves de lesiones y riña tumultuaria,2287.0,2717.0,18.8,
    4.-Secuestro,10.0,13.0,30.0,
    5.-Delitos contra la libertad e indemnidad sexual,1976.0,2420.0,22.5,
    5.1.-Agresión sexual con penetración,217.0,274.0,26.3,
    5.2.-Resto de delitos contra la libertad e indemnidad sexual,1759.0,2146.0,22.0,
    6.-Robos con violencia e intimidación,10688.0,12153.0,13.7,
    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones,12262.0,12381.0,1.0,
    7.1.-Robos con fuerza en domicilios,7052.0,8243.0,16.9,
    8.-Hurtos,92213.0,108778.0,18.0,
    9.-Sustracciones de vehículos,6235.0,6922.0,11.0,
    10.-Tráfico de drogas,2470.0,2502.0,1.3,
    Resto de infracciones penales,181917.0,197970.0,8.8,
    TOTAL INFRACCIONES PENALES,310194.0,345987.0,11.5,
MURCIA (REGIÓN DE),
    1.-Homicidios dolosos y asesinatos consumados,10.0,14.0,40.0,
    2.-Homicidios dolosos y asesinatos en grado tentativa,41.0,46.0,12.2,
    3.-Delitos graves y menos graves de lesiones y riña tumultuaria,645.0,863.0,33.8,
    4.-Secuestro,1.0,3.0,200.0,
    5.-Delitos contra la libertad e indemnidad sexual,505.0,613.0,21.4,
    5.1.-Agresión sexual con penetración,64.0,61.0,-4.7,
    5.2.-Resto de delitos contra la libertad e indemnidad sexual,441.0,552.0,25.2,
    6.-Robos con violencia e intimidación,1207.0,1375.0,13.9,
    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones,4701.0,4875.0,3.7,
    7.1.-Robos con fuerza en domicilios,3796.0,3793.0,-0.1,
    8.-Hurtos,9925.0,11925.0,20.2,
    9.-Sustracciones de vehículos,726.0,666.0,-8.3,
    10.-Tráfico de drogas,389.0,506.0,30.1,
    Resto de infracciones penales,32819.0,37088.0,13.0,
    TOTAL INFRACCIONES PENALES,50969.0,57974.0,13.7,
NAVARRA (COMUNIDAD FORAL DE),
    1.-Homicidios dolosos y asesinatos consumados,1.0,2.0,100.0,
    2.-Homicidios dolosos y asesinatos en grado tentativa,22.0,21.0,-4.5,
    3.-Delitos graves y menos graves de lesiones y riña tumultuaria,200.0,272.0,36.0,
    4.-Secuestro,4.0,5.0,25.0,
    5.-Delitos contra la libertad e indemnidad sexual,241.0,264.0,9.5,
    5.1.-Agresión sexual con penetración,18.0,40.0,122.2,
    5.2.-Resto de delitos contra la libertad e indemnidad sexual,223.0,224.0,0.4,
    6.-Robos con violencia e intimidación,226.0,298.0,31.9,
