
Balance de criminalidad. 2022 - 3er Trimestre - CCAA
Indicadores de seguridad 2022 - 3er Trimestre por comunidades  autónomas, tipología penal y periodos.
Unidades: Hechos conocidos

,Enero-septiembre 2021,Enero-septiembre 2022,Variación % 2022/2021,
    5.2.-Resto de delitos contra la libertad e indemnidad sexual,143.0,206.0,44.1,
    6.-Robos con violencia e intimidación,151.0,228.0,51.0,
    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones,1020.0,1313.0,28.7,
    7.1.-Robos con fuerza en domicilios,685.0,840.0,22.6,
    8.-Hurtos,3282.0,4730.0,44.1,
    9.-Sustracciones de vehículos,95.0,114.0,20.0,
    10.-Tráfico de drogas,250.0,201.0,-19.6,
    Resto de infracciones penales,14473.0,16583.0,14.6,
    TOTAL INFRACCIONES PENALES,19659.0,23692.0,20.5,
GALICIA,
    1.-Homicidios dolosos y asesinatos consumados,14.0,4.0,-71.4,
    2.-Homicidios dolosos y asesinatos en grado tentativa,24.0,34.0,41.7,
    3.-Delitos graves y menos graves de lesiones y riña tumultuaria,656.0,929.0,41.6,
    4.-Secuestro,0.0,1.0,100.0,
    5.-Delitos contra la libertad e indemnidad sexual,519.0,557.0,7.3,
    5.1.-Agresión sexual con penetración,61.0,67.0,9.8,
    5.2.-Resto de delitos contra la libertad e indemnidad sexual,458.0,490.0,7.0,
    6.-Robos con violencia e intimidación,603.0,730.0,21.1,
    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones,2565.0,2884.0,12.4,
    7.1.-Robos con fuerza en domicilios,1798.0,1889.0,5.1,
    8.-Hurtos,10798.0,14739.0,36.5,
    9.-Sustracciones de vehículos,275.0,420.0,52.7,
    10.-Tráfico de drogas,352.0,378.0,7.4,
    Resto de infracciones penales,46533.0,52545.0,12.9,
    TOTAL INFRACCIONES PENALES,62339.0,73221.0,17.5,
MADRID (COMUNIDAD DE),
    1.-Homicidios dolosos y asesinatos consumados,23.0,31.0,34.8,
    2.-Homicidios dolosos y asesinatos en grado tentativa,60.0,93.0,55.0,
    3.-Delitos graves y menos graves de lesiones y riña tumultuaria,1968.0,2375.0,20.7,
    4.-Secuestro,12.0,8.0,-33.3,
    5.-Delitos contra la libertad e indemnidad sexual,1796.0,2027.0,12.9,
    5.1.-Agresión sexual con penetración,203.0,232.0,14.3,
    5.2.-Resto de delitos contra la libertad e indemnidad sexual,1593.0,1795.0,12.7,
    6.-Robos con violencia e intimidación,8585.0,9634.0,12.2,
    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones,9203.0,10107.0,9.8,
    7.1.-Robos con fuerza en domicilios,6110.0,7152.0,17.1,
    8.-Hurtos,75954.0,96931.0,27.6,
    9.-Sustracciones de vehículos,4897.0,5674.0,15.9,
    10.-Tráfico de drogas,1853.0,2230.0,20.3,
    Resto de infracciones penales,143984.0,169953.0,18.0,
    TOTAL INFRACCIONES PENALES,248335.0,299063.0,20.4,
MURCIA (REGIÓN DE),
    1.-Homicidios dolosos y asesinatos consumados,9.0,6.0,-33.3,
    2.-Homicidios dolosos y asesinatos en grado tentativa,33.0,36.0,9.1,
    3.-Delitos graves y menos graves de lesiones y riña tumultuaria,617.0,868.0,40.7,
    4.-Secuestro,2.0,3.0,50.0,
    5.-Delitos contra la libertad e indemnidad sexual,481.0,462.0,-4.0,
    5.1.-Agresión sexual con penetración,48.0,48.0,0.0,
    5.2.-Resto de delitos contra la libertad e indemnidad sexual,433.0,414.0,-4.4,
    6.-Robos con violencia e intimidación,929.0,1435.0,54.5,
    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones,3485.0,3890.0,11.6,
    7.1.-Robos con fuerza en domicilios,2775.0,2912.0,4.9,
    8.-Hurtos,8516.0,11301.0,32.7,
    9.-Sustracciones de vehículos,476.0,556.0,16.8,
    10.-Tráfico de drogas,365.0,396.0,8.5,
    Resto de infracciones penales,27182.0,31801.0,17.0,
    TOTAL INFRACCIONES PENALES,42095.0,50754.0,20.6,
NAVARRA (COMUNIDAD FORAL DE),
    1.-Homicidios dolosos y asesinatos consumados,1.0,3.0,200.0,
    2.-Homicidios dolosos y asesinatos en grado tentativa,17.0,17.0,0.0,
    3.-Delitos graves y menos graves de lesiones y riña tumultuaria,171.0,300.0,75.4,
    4.-Secuestro,4.0,2.0,-50.0,
    5.-Delitos contra la libertad e indemnidad sexual,170.0,254.0,49.4,
    5.1.-Agresión sexual con penetración,25.0,35.0,40.0,
    5.2.-Resto de delitos contra la libertad e indemnidad sexual,145.0,219.0,51.0,
    6.-Robos con violencia e intimidación,207.0,338.0,63.3,
    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones,843.0,1081.0,28.2,
    7.1.-Robos con fuerza en domicilios,539.0,699.0,29.7,
    8.-Hurtos,3857.0,6333.0,64.2,
    9.-Sustracciones de vehículos,93.0,102.0,9.7,
    10.-Tráfico de drogas,112.0,106.0,-5.4,
    Resto de infracciones penales,13761.0,16812.0,22.2,
    TOTAL INFRACCIONES PENALES,19236.0,25348.0,31.8,
PAÍS VASCO,
    1.-Homicidios dolosos y asesinatos consumados,8.0,5.0,-37.5,
    2.-Homicidios dolosos y asesinatos en grado tentativa,32.0,43.0,34.4,
    3.-Delitos graves y menos graves de lesiones y riña tumultuaria,741.0,1137.0,53.4,
    4.-Secuestro,3.0,4.0,33.3,
    5.-Delitos contra la libertad e indemnidad sexual,506.0,627.0,23.9,
    5.1.-Agresión sexual con penetración,72.0,115.0,59.7,
    5.2.-Resto de delitos contra la libertad e indemnidad sexual,434.0,512.0,18.0,
    6.-Robos con violencia e intimidación,900.0,1564.0,73.8,
    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones,4544.0,5364.0,18.0,
    7.1.-Robos con fuerza en domicilios,3029.0,3547.0,17.1,
    8.-Hurtos,15416.0,21798.0,41.4,
    9.-Sustracciones de vehículos,489.0,528.0,8.0,
    10.-Tráfico de drogas,421.0,464.0,10.2,
    Resto de infracciones penales,37861.0,43426.0,14.7,
    TOTAL INFRACCIONES PENALES,60921.0,74960.0,23.0,
RIOJA (LA),
    1.-Homicidios dolosos y asesinatos consumados,2.0,1.0,-50.0,
    2.-Homicidios dolosos y asesinatos en grado tentativa,3.0,3.0,0.0,
    3.-Delitos graves y menos graves de lesiones y riña tumultuaria,97.0,155.0,59.8,
    4.-Secuestro,0.0,0.0,0.0,
    5.-Delitos contra la libertad e indemnidad sexual,75.0,89.0,18.7,
    5.1.-Agresión sexual con penetración,7.0,7.0,0.0,
    5.2.-Resto de delitos contra la libertad e indemnidad sexual,68.0,82.0,20.6,
    6.-Robos con violencia e intimidación,94.0,85.0,-9.6,
    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones,359.0,507.0,41.2,
    7.1.-Robos con fuerza en domicilios,290.0,366.0,26.2,
    8.-Hurtos,1235.0,2018.0,63.4,
    9.-Sustracciones de vehículos,39.0,58.0,48.7,
    10.-Tráfico de drogas,59.0,76.0,28.8,
    Resto de infracciones penales,4591.0,5816.0,26.7,
    TOTAL INFRACCIONES PENALES,6554.0,8808.0,34.4,
CIUDAD AUTÓNOMA DE CEUTA,
    1.-Homicidios dolosos y asesinatos consumados,1.0,2.0,100.0,
    2.-Homicidios dolosos y asesinatos en grado tentativa,9.0,28.0,211.1,
    3.-Delitos graves y menos graves de lesiones y riña tumultuaria,54.0,59.0,9.3,
    4.-Secuestro,2.0,0.0,-100.0,
    5.-Delitos contra la libertad e indemnidad sexual,35.0,24.0,-31.4,
    5.1.-Agresión sexual con penetración,3.0,1.0,-66.7,
    5.2.-Resto de delitos contra la libertad e indemnidad sexual,32.0,23.0,-28.1,
    6.-Robos con violencia e intimidación,150.0,68.0,-54.7,
    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones,46.0,33.0,-28.3,
    7.1.-Robos con fuerza en domicilios,23.0,20.0,-13.0,
    8.-Hurtos,312.0,277.0,-11.2,
    9.-Sustracciones de vehículos,74.0,77.0,4.1,
    10.-Tráfico de drogas,160.0,78.0,-51.3,
    Resto de infracciones penales,2059.0,1848.0,-10.2,
    TOTAL INFRACCIONES PENALES,2902.0,2494.0,-14.1,
CIUDAD AUTÓNOMA DE MELILLA,
    1.-Homicidios dolosos y asesinatos consumados,0.0,2.0,100.0,
    2.-Homicidios dolosos y asesinatos en grado tentativa,3.0,4.0,33.3,
    3.-Delitos graves y menos graves de lesiones y riña tumultuaria,95.0,64.0,-32.6,
    4.-Secuestro,0.0,0.0,0.0,
    5.-Delitos contra la libertad e indemnidad sexual,33.0,13.0,-60.6,
    5.1.-Agresión sexual con penetración,2.0,1.0,-50.0,
    5.2.-Resto de delitos contra la libertad e indemnidad sexual,31.0,12.0,-61.3,
    6.-Robos con violencia e intimidación,146.0,78.0,-46.6,
    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones,45.0,48.0,6.7,
    7.1.-Robos con fuerza en domicilios,37.0,27.0,-27.0,
    8.-Hurtos,431.0,476.0,10.4,
    9.-Sustracciones de vehículos,22.0,48.0,118.2,
    10.-Tráfico de drogas,203.0,43.0,-78.8,
    Resto de infracciones penales,2063.0,2139.0,3.7,
    TOTAL INFRACCIONES PENALES,3041.0,2915.0,-4.1,
EN EL EXTRANJERO,
    1.-Homicidios dolosos y asesinatos consumados,0.0,0.0,0.0,
    2.-Homicidios dolosos y asesinatos en grado tentativa,0.0,0.0,0.0,
    3.-Delitos graves y menos graves de lesiones y riña tumultuaria,2.0,5.0,150.0,
    4.-Secuestro,8.0,1.0,-87.5,
    5.-Delitos contra la libertad e indemnidad sexual,43.0,75.0,74.4,
    5.1.-Agresión sexual con penetración,7.0,13.0,85.7,
    5.2.-Resto de delitos contra la libertad e indemnidad sexual,36.0,62.0,72.2,
    6.-Robos con violencia e intimidación,42.0,130.0,209.5,
    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones,10.0,20.0,100.0,
    7.1.-Robos con fuerza en domicilios,9.0,14.0,55.6,
    8.-Hurtos,464.0,1484.0,219.8,
    9.-Sustracciones de vehículos,44.0,49.0,11.4,
    10.-Tráfico de drogas,15.0,18.0,20.0,
    Resto de infracciones penales,4611.0,5374.0,16.5,
    TOTAL INFRACCIONES PENALES,5239.0,7156.0,36.6,
Notas:
NIPO 126-20-005-0                   
                    
 (*) Se computan datos provenientes de la Policía Nacional, Guardia  Civil, policías autonómicas y policías locales que proporcionan datos  al Sistema Estadístico de Criminalidad.                               
                                                    
 (**) Indicadores estadísticos de criminalidad utilizados por la  Oficina Estadística Europea (EUROSTAT).         
          
 (***) Datos de 2022 pendientes de consolidar.
Fuente: Ministerio del Interior
