
Balances trimestrales de criminalidad - 2018. 4º Trimestre
Indicadores de seguridad 2018 - 4º Trimestre por comunidades  autónomas, tipología penal y periodos.
Unidades: Hechos conocidos

,Enero-diciembre 2017,Enero-diciembre 2018,Variación % 2018/2017,
    7.1.-Robos con fuerza en domicilios,1288.0,1173.0,-8.9,
    8.-Hurtos,7245.0,6614.0,-8.7,
    9.-Sustracciones de vehículos,336.0,161.0,-52.1,
    10.-Tráfico de drogas,201.0,233.0,15.9,
    Resto de infracciones penales,15607.0,16684.0,6.9,
    TOTAL INFRACCIONES PENALES,26411.0,26535.0,0.5,
GALICIA,
    1.-Homicidios dolosos y asesinatos consumados,13.0,8.0,-38.5,
    2.-Homicidios dolosos y asesinatos en grado tentativa,27.0,25.0,-7.4,
    3.-Delitos graves y menos graves de lesiones y riña tumultuaria,844.0,942.0,11.6,
    4.-Secuestro,4.0,2.0,-50.0,
    5.-Delitos contra la libertad e indemnidad sexual,459.0,540.0,17.6,
    5.1.-Agresión sexual con penetración,44.0,56.0,27.3,
    5.2.-Resto de delitos contra la libertad e indemnidad sexual,415.0,484.0,16.6,
    6.-Robos con violencia e intimidación,1057.0,957.0,-9.5,
    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones,5438.0,5349.0,-1.6,
    7.1.-Robos con fuerza en domicilios,3402.0,3374.0,-0.8,
    8.-Hurtos,20320.0,19841.0,-2.4,
    9.-Sustracciones de vehículos,794.0,586.0,-26.2,
    10.-Tráfico de drogas,371.0,432.0,16.4,
    Resto de infracciones penales,44847.0,49287.0,9.9,
    TOTAL INFRACCIONES PENALES,74174.0,77969.0,5.1,
MADRID (COMUNIDAD DE),
    1.-Homicidios dolosos y asesinatos consumados,39.0,36.0,-7.7,
    2.-Homicidios dolosos y asesinatos en grado tentativa,86.0,78.0,-9.3,
    3.-Delitos graves y menos graves de lesiones y riña tumultuaria,2124.0,2167.0,2.0,
    4.-Secuestro,7.0,12.0,71.4,
    5.-Delitos contra la libertad e indemnidad sexual,1776.0,2017.0,13.6,
    5.1.-Agresión sexual con penetración,221.0,252.0,14.0,
    5.2.-Resto de delitos contra la libertad e indemnidad sexual,1555.0,1765.0,13.5,
    6.-Robos con violencia e intimidación,16314.0,14493.0,-11.2,
    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones,19310.0,19328.0,0.1,
