
Balances trimestrales de criminalidad - 2018. 1er Trimestre
Indicadores de seguridad 2018 - 1er Trimestre por comunidades  autónomas, tipología penal y periodos.
Unidades: Hechos conocidos

,Enero-marzo 2017,Enero-marzo 2018,Variación % 2018/2017,
    2.-Homicidios dolosos y asesinatos en grado tentativa,38.0,35.0,-7.9,
    3.-Delitos graves y menos graves de lesiones y riña tumultuaria,652.0,727.0,11.5,
    4.-Secuestro,2.0,3.0,50.0,
    5.-Delitos contra la libertad e indemnidad sexual,521.0,612.0,17.5,
    5.1.-Agresión sexual con penetración,81.0,110.0,35.8,
    5.2.-Resto de delitos contra la libertad e indemnidad sexual,440.0,502.0,14.1,
    6.-Robos con violencia e intimidación,5142.0,5209.0,1.3,
    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones,7821.0,8899.0,13.8,
    7.1.-Robos con fuerza en domicilios,5932.0,6937.0,16.9,
    8.-Hurtos,37363.0,43264.0,15.8,
    9.-Sustracciones de vehículos,2046.0,2040.0,-0.3,
    10.-Tráfico de drogas,564.0,610.0,8.2,
    TOTAL INFRACCIONES PENALES,97018.0,109288.0,12.6,
COMUNITAT VALENCIANA,
    1.-Homicidios dolosos y asesinatos consumados,12.0,5.0,-58.3,
    2.-Homicidios dolosos y asesinatos en grado tentativa,9.0,26.0,188.9,
    3.-Delitos graves y menos graves de lesiones y riña tumultuaria,392.0,390.0,-0.5,
    4.-Secuestro,0.0,1.0,100.0,
    5.-Delitos contra la libertad e indemnidad sexual,294.0,317.0,7.8,
    5.1.-Agresión sexual con penetración,29.0,31.0,6.9,
    5.2.-Resto de delitos contra la libertad e indemnidad sexual,265.0,286.0,7.9,
    6.-Robos con violencia e intimidación,1424.0,1306.0,-8.3,
    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones,5938.0,5819.0,-2.0,
    7.1.-Robos con fuerza en domicilios,4580.0,4620.0,0.9,
    8.-Hurtos,17667.0,16306.0,-7.7,
    9.-Sustracciones de vehículos,1018.0,759.0,-25.4,
    10.-Tráfico de drogas,349.0,385.0,10.3,
    TOTAL INFRACCIONES PENALES,55302.0,54886.0,-0.8,
EXTREMADURA,
    1.-Homicidios dolosos y asesinatos consumados,2.0,1.0,-50.0,
    2.-Homicidios dolosos y asesinatos en grado tentativa,3.0,3.0,0.0,
    3.-Delitos graves y menos graves de lesiones y riña tumultuaria,81.0,74.0,-8.6,
    4.-Secuestro,0.0,0.0,0.0,
    5.-Delitos contra la libertad e indemnidad sexual,29.0,58.0,100.0,
    5.1.-Agresión sexual con penetración,2.0,6.0,200.0,
    5.2.-Resto de delitos contra la libertad e indemnidad sexual,27.0,52.0,92.6,
    6.-Robos con violencia e intimidación,77.0,67.0,-13.0,
    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones,632.0,632.0,0.0,
    7.1.-Robos con fuerza en domicilios,363.0,373.0,2.8,
    8.-Hurtos,1837.0,1600.0,-12.9,
    9.-Sustracciones de vehículos,102.0,36.0,-64.7,
    10.-Tráfico de drogas,38.0,37.0,-2.6,
    TOTAL INFRACCIONES PENALES,6758.0,6368.0,-5.8,
GALICIA,
    1.-Homicidios dolosos y asesinatos consumados,5.0,4.0,-20.0,
    2.-Homicidios dolosos y asesinatos en grado tentativa,9.0,5.0,-44.4,
    3.-Delitos graves y menos graves de lesiones y riña tumultuaria,221.0,178.0,-19.5,
    4.-Secuestro,2.0,1.0,-50.0,
    5.-Delitos contra la libertad e indemnidad sexual,97.0,112.0,15.5,
    5.1.-Agresión sexual con penetración,13.0,13.0,0.0,
    5.2.-Resto de delitos contra la libertad e indemnidad sexual,84.0,99.0,17.9,
    6.-Robos con violencia e intimidación,224.0,231.0,3.1,
    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones,1488.0,1446.0,-2.8,
    7.1.-Robos con fuerza en domicilios,893.0,891.0,-0.2,
    8.-Hurtos,4579.0,4372.0,-4.5,
    9.-Sustracciones de vehículos,230.0,121.0,-47.4,
    10.-Tráfico de drogas,81.0,107.0,32.1,
    TOTAL INFRACCIONES PENALES,17485.0,17511.0,0.1,
MADRID (COMUNIDAD DE),
    1.-Homicidios dolosos y asesinatos consumados,10.0,13.0,30.0,
    2.-Homicidios dolosos y asesinatos en grado tentativa,31.0,21.0,-32.3,
    3.-Delitos graves y menos graves de lesiones y riña tumultuaria,487.0,477.0,-2.1,
    4.-Secuestro,1.0,3.0,200.0,
    5.-Delitos contra la libertad e indemnidad sexual,393.0,460.0,17.0,
    5.1.-Agresión sexual con penetración,44.0,62.0,40.9,
    5.2.-Resto de delitos contra la libertad e indemnidad sexual,349.0,398.0,14.0,
    6.-Robos con violencia e intimidación,4201.0,3466.0,-17.5,
    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones,4954.0,5041.0,1.8,
    7.1.-Robos con fuerza en domicilios,3187.0,3374.0,5.9,
    8.-Hurtos,40764.0,38792.0,-4.8,
    9.-Sustracciones de vehículos,2920.0,2267.0,-22.4,
    10.-Tráfico de drogas,382.0,452.0,18.3,
    TOTAL INFRACCIONES PENALES,97372.0,97779.0,0.4,
MURCIA (REGIÓN DE),
    1.-Homicidios dolosos y asesinatos consumados,4.0,4.0,0.0,
    2.-Homicidios dolosos y asesinatos en grado tentativa,11.0,6.0,-45.5,
    3.-Delitos graves y menos graves de lesiones y riña tumultuaria,133.0,127.0,-4.5,
    4.-Secuestro,0.0,2.0,100.0,
    5.-Delitos contra la libertad e indemnidad sexual,84.0,97.0,15.5,
    5.1.-Agresión sexual con penetración,9.0,7.0,-22.2,
    5.2.-Resto de delitos contra la libertad e indemnidad sexual,75.0,90.0,20.0,
    6.-Robos con violencia e intimidación,355.0,383.0,7.9,
    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones,1853.0,1809.0,-2.4,
    7.1.-Robos con fuerza en domicilios,1482.0,1524.0,2.8,
    8.-Hurtos,3738.0,3626.0,-3.0,
    9.-Sustracciones de vehículos,333.0,274.0,-17.7,
    10.-Tráfico de drogas,76.0,60.0,-21.1,
    TOTAL INFRACCIONES PENALES,13218.0,13160.0,-0.4,
NAVARRA (COMUNIDAD FORAL DE),
    1.-Homicidios dolosos y asesinatos consumados,1.0,0.0,-100.0,
    2.-Homicidios dolosos y asesinatos en grado tentativa,3.0,3.0,0.0,
    3.-Delitos graves y menos graves de lesiones y riña tumultuaria,104.0,94.0,-9.6,
    4.-Secuestro,1.0,1.0,0.0,
    5.-Delitos contra la libertad e indemnidad sexual,62.0,48.0,-22.6,
    5.1.-Agresión sexual con penetración,9.0,12.0,33.3,
    5.2.-Resto de delitos contra la libertad e indemnidad sexual,53.0,36.0,-32.1,
    6.-Robos con violencia e intimidación,98.0,62.0,-36.7,
    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones,398.0,369.0,-7.3,
    7.1.-Robos con fuerza en domicilios,245.0,227.0,-7.3,
    8.-Hurtos,1529.0,1486.0,-2.8,
    9.-Sustracciones de vehículos,47.0,40.0,-14.9,
    10.-Tráfico de drogas,26.0,26.0,0.0,
    TOTAL INFRACCIONES PENALES,5786.0,6068.0,4.9,
PAÍS VASCO,
    1.-Homicidios dolosos y asesinatos consumados,2.0,3.0,50.0,
    2.-Homicidios dolosos y asesinatos en grado tentativa,10.0,10.0,0.0,
    3.-Delitos graves y menos graves de lesiones y riña tumultuaria,240.0,256.0,6.7,
    4.-Secuestro,4.0,0.0,-100.0,
    5.-Delitos contra la libertad e indemnidad sexual,121.0,161.0,33.1,
    5.1.-Agresión sexual con penetración,18.0,28.0,55.6,
    5.2.-Resto de delitos contra la libertad e indemnidad sexual,103.0,133.0,29.1,
    6.-Robos con violencia e intimidación,376.0,443.0,17.8,
    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones,1783.0,2235.0,25.4,
    7.1.-Robos con fuerza en domicilios,945.0,1261.0,33.4,
    8.-Hurtos,6582.0,6302.0,-4.3,
    9.-Sustracciones de vehículos,187.0,217.0,16.0,
    10.-Tráfico de drogas,76.0,86.0,13.2,
    TOTAL INFRACCIONES PENALES,20358.0,21283.0,4.5,
RIOJA (LA),
