
Balance de criminalidad. 2020 - 1er Trimestre - CCAA
Indicadores de seguridad 2020 - 1er Trimestre por comunidades  autónomas, tipología penal y periodos.
Unidades: Hechos conocidos

,Enero-marzo 2019,Enero-marzo 2020,Variación % 2020/2019,
MADRID (COMUNIDAD DE),
    1.-Homicidios dolosos y asesinatos consumados,10.0,11.0,10.0,
    2.-Homicidios dolosos y asesinatos en grado tentativa,15.0,19.0,26.7,
    3.-Delitos graves y menos graves de lesiones y riña tumultuaria,598.0,576.0,-3.7,
    4.-Secuestro,3.0,2.0,-33.3,
    5.-Delitos contra la libertad e indemnidad sexual,539.0,502.0,-6.9,
    5.1.-Agresión sexual con penetración,56.0,58.0,3.6,
    5.2.-Resto de delitos contra la libertad e indemnidad sexual,483.0,444.0,-8.1,
    6.-Robos con violencia e intimidación,3485.0,3406.0,-2.3,
    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones,4762.0,4185.0,-12.1,
    7.1.-Robos con fuerza en domicilios,2860.0,2149.0,-24.9,
    8.-Hurtos,40491.0,34331.0,-15.2,
    9.-Sustracciones de vehículos,2128.0,1822.0,-14.4,
    10.-Tráfico de drogas,650.0,615.0,-5.4,
    Resto de infracciones penales,50329.0,46335.0,-7.9,
    TOTAL INFRACCIONES PENALES,103010.0,91804.0,-10.9,
MURCIA (REGIÓN DE),
    1.-Homicidios dolosos y asesinatos consumados,3.0,1.0,-66.7,
    2.-Homicidios dolosos y asesinatos en grado tentativa,10.0,7.0,-30.0,
    3.-Delitos graves y menos graves de lesiones y riña tumultuaria,188.0,130.0,-30.9,
    4.-Secuestro,2.0,0.0,-100.0,
    5.-Delitos contra la libertad e indemnidad sexual,131.0,126.0,-3.8,
    5.1.-Agresión sexual con penetración,8.0,21.0,162.5,
    5.2.-Resto de delitos contra la libertad e indemnidad sexual,123.0,105.0,-14.6,
    6.-Robos con violencia e intimidación,377.0,345.0,-8.5,
    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones,1681.0,1414.0,-15.9,
    7.1.-Robos con fuerza en domicilios,1361.0,1146.0,-15.8,
    8.-Hurtos,3826.0,2891.0,-24.4,
    9.-Sustracciones de vehículos,224.0,229.0,2.2,
    10.-Tráfico de drogas,87.0,94.0,8.0,
    Resto de infracciones penales,7765.0,8086.0,4.1,
    TOTAL INFRACCIONES PENALES,14294.0,13323.0,-6.8,
NAVARRA (COMUNIDAD FORAL DE),
    1.-Homicidios dolosos y asesinatos consumados,3.0,1.0,-66.7,
