
Balance de criminalidad. 2022 - 2º Trimestre - CCAA
Indicadores de seguridad 2022 - 2º Trimestre por comunidades  autónomas, tipología penal y periodos.
Unidades: Hechos conocidos

,Enero-junio 2021,Enero-junio 2022,Variación % 2022/2021,
    5.-Delitos contra la libertad e indemnidad sexual,1548.0,1770.0,14.3,
    5.1.-Agresión sexual con penetración,265.0,349.0,31.7,
    5.2.-Resto de delitos contra la libertad e indemnidad sexual,1283.0,1421.0,10.8,
    6.-Robos con violencia e intimidación,8858.0,11796.0,33.2,
    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones,10133.0,13148.0,29.8,
    7.1.-Robos con fuerza en domicilios,7183.0,9246.0,28.7,
    8.-Hurtos,50052.0,74572.0,49.0,
    9.-Sustracciones de vehículos,2749.0,3367.0,22.5,
    10.-Tráfico de drogas,1874.0,2029.0,8.3,
    Resto de infracciones penales,100432.0,116918.0,16.4,
    TOTAL INFRACCIONES PENALES,177073.0,225580.0,27.4,
COMUNITAT VALENCIANA,
    1.-Homicidios dolosos y asesinatos consumados,16.0,22.0,37.5,
    2.-Homicidios dolosos y asesinatos en grado tentativa,55.0,53.0,-3.6,
    3.-Delitos graves y menos graves de lesiones y riña tumultuaria,978.0,1490.0,52.4,
    4.-Secuestro,3.0,7.0,133.3,
    5.-Delitos contra la libertad e indemnidad sexual,959.0,1194.0,24.5,
    5.1.-Agresión sexual con penetración,93.0,143.0,53.8,
    5.2.-Resto de delitos contra la libertad e indemnidad sexual,866.0,1051.0,21.4,
    6.-Robos con violencia e intimidación,1906.0,2707.0,42.0,
    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones,7172.0,8624.0,20.2,
    7.1.-Robos con fuerza en domicilios,5808.0,6971.0,20.0,
    8.-Hurtos,23867.0,33150.0,38.9,
    9.-Sustracciones de vehículos,1116.0,1525.0,36.6,
    10.-Tráfico de drogas,963.0,913.0,-5.2,
    Resto de infracciones penales,63518.0,75367.0,18.7,
    TOTAL INFRACCIONES PENALES,100553.0,125052.0,24.4,
EXTREMADURA,
    1.-Homicidios dolosos y asesinatos consumados,2.0,0.0,-100.0,
    2.-Homicidios dolosos y asesinatos en grado tentativa,11.0,4.0,-63.6,
    3.-Delitos graves y menos graves de lesiones y riña tumultuaria,120.0,178.0,48.3,
    4.-Secuestro,0.0,0.0,0.0,
    5.-Delitos contra la libertad e indemnidad sexual,96.0,138.0,43.8,
    5.1.-Agresión sexual con penetración,12.0,14.0,16.7,
    5.2.-Resto de delitos contra la libertad e indemnidad sexual,84.0,124.0,47.6,
    6.-Robos con violencia e intimidación,108.0,153.0,41.7,
    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones,645.0,909.0,40.9,
    7.1.-Robos con fuerza en domicilios,449.0,568.0,26.5,
    8.-Hurtos,1999.0,3247.0,62.4,
    9.-Sustracciones de vehículos,61.0,72.0,18.0,
    10.-Tráfico de drogas,136.0,127.0,-6.6,
    Resto de infracciones penales,9266.0,10829.0,16.9,
    TOTAL INFRACCIONES PENALES,12444.0,15657.0,25.8,
GALICIA,
    1.-Homicidios dolosos y asesinatos consumados,8.0,3.0,-62.5,
    2.-Homicidios dolosos y asesinatos en grado tentativa,20.0,25.0,25.0,
    3.-Delitos graves y menos graves de lesiones y riña tumultuaria,365.0,591.0,61.9,
    4.-Secuestro,0.0,1.0,100.0,
    5.-Delitos contra la libertad e indemnidad sexual,324.0,377.0,16.4,
    5.1.-Agresión sexual con penetración,43.0,44.0,2.3,
    5.2.-Resto de delitos contra la libertad e indemnidad sexual,281.0,333.0,18.5,
    6.-Robos con violencia e intimidación,379.0,425.0,12.1,
    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones,1429.0,1921.0,34.4,
    7.1.-Robos con fuerza en domicilios,981.0,1229.0,25.3,
    8.-Hurtos,6269.0,9150.0,46.0,
    9.-Sustracciones de vehículos,176.0,277.0,57.4,
    10.-Tráfico de drogas,232.0,230.0,-0.9,
    Resto de infracciones penales,29497.0,36410.0,23.4,
    TOTAL INFRACCIONES PENALES,38699.0,49410.0,27.7,
MADRID (COMUNIDAD DE),
    1.-Homicidios dolosos y asesinatos consumados,14.0,21.0,50.0,
    2.-Homicidios dolosos y asesinatos en grado tentativa,38.0,62.0,63.2,
    3.-Delitos graves y menos graves de lesiones y riña tumultuaria,1207.0,1571.0,30.2,
    4.-Secuestro,8.0,6.0,-25.0,
    5.-Delitos contra la libertad e indemnidad sexual,1118.0,1313.0,17.4,
    5.1.-Agresión sexual con penetración,123.0,137.0,11.4,
    5.2.-Resto de delitos contra la libertad e indemnidad sexual,995.0,1176.0,18.2,
    6.-Robos con violencia e intimidación,5527.0,6387.0,15.6,
    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones,5796.0,6376.0,10.0,
    7.1.-Robos con fuerza en domicilios,3609.0,4371.0,21.1,
    8.-Hurtos,50293.0,68124.0,35.5,
    9.-Sustracciones de vehículos,3196.0,3923.0,22.7,
    10.-Tráfico de drogas,1230.0,1505.0,22.4,
    Resto de infracciones penales,94092.0,113282.0,20.4,
    TOTAL INFRACCIONES PENALES,162519.0,202570.0,24.6,
MURCIA (REGIÓN DE),
    1.-Homicidios dolosos y asesinatos consumados,4.0,5.0,25.0,
    2.-Homicidios dolosos y asesinatos en grado tentativa,19.0,23.0,21.1,
    3.-Delitos graves y menos graves de lesiones y riña tumultuaria,361.0,549.0,52.1,
    4.-Secuestro,1.0,2.0,100.0,
    5.-Delitos contra la libertad e indemnidad sexual,312.0,282.0,-9.6,
    5.1.-Agresión sexual con penetración,31.0,29.0,-6.5,
    5.2.-Resto de delitos contra la libertad e indemnidad sexual,281.0,253.0,-10.0,
    6.-Robos con violencia e intimidación,560.0,884.0,57.9,
    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones,2226.0,2662.0,19.6,
    7.1.-Robos con fuerza en domicilios,1771.0,1975.0,11.5,
    8.-Hurtos,5203.0,7187.0,38.1,
    9.-Sustracciones de vehículos,304.0,324.0,6.6,
    10.-Tráfico de drogas,254.0,256.0,0.8,
    Resto de infracciones penales,17512.0,20639.0,17.9,
    TOTAL INFRACCIONES PENALES,26756.0,32813.0,22.6,
NAVARRA (COMUNIDAD FORAL DE),
    1.-Homicidios dolosos y asesinatos consumados,1.0,3.0,200.0,
    2.-Homicidios dolosos y asesinatos en grado tentativa,11.0,9.0,-18.2,
    3.-Delitos graves y menos graves de lesiones y riña tumultuaria,116.0,170.0,46.6,
    4.-Secuestro,3.0,2.0,-33.3,
    5.-Delitos contra la libertad e indemnidad sexual,110.0,145.0,31.8,
    5.1.-Agresión sexual con penetración,18.0,25.0,38.9,
    5.2.-Resto de delitos contra la libertad e indemnidad sexual,92.0,120.0,30.4,
    6.-Robos con violencia e intimidación,122.0,194.0,59.0,
    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones,573.0,738.0,28.8,
    7.1.-Robos con fuerza en domicilios,391.0,467.0,19.4,
    8.-Hurtos,2468.0,3183.0,29.0,
    9.-Sustracciones de vehículos,60.0,70.0,16.7,
    10.-Tráfico de drogas,79.0,65.0,-17.7,
    Resto de infracciones penales,9155.0,11015.0,20.3,
    TOTAL INFRACCIONES PENALES,12698.0,15594.0,22.8,
PAÍS VASCO,
    1.-Homicidios dolosos y asesinatos consumados,6.0,3.0,-50.0,
    2.-Homicidios dolosos y asesinatos en grado tentativa,18.0,24.0,33.3,
    3.-Delitos graves y menos graves de lesiones y riña tumultuaria,394.0,704.0,78.7,
    4.-Secuestro,0.0,4.0,100.0,
    5.-Delitos contra la libertad e indemnidad sexual,318.0,387.0,21.7,
    5.1.-Agresión sexual con penetración,51.0,64.0,25.5,
    5.2.-Resto de delitos contra la libertad e indemnidad sexual,267.0,323.0,21.0,
    6.-Robos con violencia e intimidación,516.0,1013.0,96.3,
    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones,2742.0,3470.0,26.5,
    7.1.-Robos con fuerza en domicilios,1785.0,2232.0,25.0,
    8.-Hurtos,9549.0,14288.0,49.6,
    9.-Sustracciones de vehículos,303.0,352.0,16.2,
    10.-Tráfico de drogas,283.0,316.0,11.7,
    Resto de infracciones penales,25209.0,28956.0,14.9,
    TOTAL INFRACCIONES PENALES,39338.0,49517.0,25.9,
RIOJA (LA),
    1.-Homicidios dolosos y asesinatos consumados,1.0,0.0,-100.0,
    2.-Homicidios dolosos y asesinatos en grado tentativa,3.0,1.0,-66.7,
    3.-Delitos graves y menos graves de lesiones y riña tumultuaria,51.0,106.0,107.8,
    4.-Secuestro,0.0,0.0,0.0,
    5.-Delitos contra la libertad e indemnidad sexual,48.0,62.0,29.2,
    5.1.-Agresión sexual con penetración,2.0,6.0,200.0,
    5.2.-Resto de delitos contra la libertad e indemnidad sexual,46.0,56.0,21.7,
    6.-Robos con violencia e intimidación,66.0,53.0,-19.7,
    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones,228.0,353.0,54.8,
    7.1.-Robos con fuerza en domicilios,185.0,251.0,35.7,
    8.-Hurtos,748.0,1241.0,65.9,
