,Enero-diciembre 2019,Enero-diciembre 2020,Variacion % 2020/2019
    7.-Robos con fuerza en domicilios establecimientos y otras instalaciones,8162.0,5566.0,-31.8
    7.1.-Robos con fuerza en domicilios,5018.0,3653.0,-27.2
    8.-Hurtos,30254.0,17915.0,-40.8
    9.-Sustracciones de vehiculos,890.0,646.0,-27.4
    10.-Trafico de drogas,421.0,564.0,34.0
    Resto de infracciones penales,51297.0,49873.0,-2.8
    TOTAL INFRACCIONES PENALES,94536.0,77145.0,-18.4
RIOJA (LA)
    1.-Homicidios dolosos y asesinatos consumados,0.0,5.0,100.0
    2.-Homicidios dolosos y asesinatos en grado tentativa,5.0,3.0,-40.0
    3.-Delitos graves y menos graves de lesiones y rina tumultuaria,143.0,120.0,-16.1
    4.-Secuestro,0.0,0.0,0.0
    5.-Delitos contra la libertad e indemnidad sexual,92.0,109.0,18.5
    5.1.-Agresion sexual con penetracion,9.0,10.0,11.1
    5.2.-Resto de delitos contra la libertad e indemnidad sexual,83.0,99.0,19.3
    6.-Robos con violencia e intimidacion,91.0,79.0,-13.2
    7.-Robos con fuerza en domicilios establecimientos y otras instalaciones,552.0,453.0,-17.9
    7.1.-Robos con fuerza en domicilios,437.0,351.0,-19.7
    8.-Hurtos,2415.0,1475.0,-38.9
    9.-Sustracciones de vehiculos,69.0,32.0,-53.6
    10.-Trafico de drogas,105.0,73.0,-30.5
    Resto de infracciones penales,5278.0,5504.0,4.3
    TOTAL INFRACCIONES PENALES,8750.0,7853.0,-10.3
CIUDAD AUTONOMA DE CEUTA
    1.-Homicidios dolosos y asesinatos consumados,4.0,2.0,-50.0
    2.-Homicidios dolosos y asesinatos en grado tentativa,16.0,5.0,-68.8
    3.-Delitos graves y menos graves de lesiones y rina tumultuaria,44.0,76.0,72.7
    4.-Secuestro,2.0,0.0,-100.0
    5.-Delitos contra la libertad e indemnidad sexual,23.0,38.0,65.2
    5.1.-Agresion sexual con penetracion,2.0,2.0,0.0
    5.2.-Resto de delitos contra la libertad e indemnidad sexual,21.0,36.0,71.4
    6.-Robos con violencia e intimidacion,147.0,126.0,-14.3
    7.-Robos con fuerza en domicilios establecimientos y otras instalaciones,58.0,69.0,19.0
    7.1.-Robos con fuerza en domicilios,42.0,37.0,-11.9
