,Enero-septiembre 2016,Enero-septiembre 2017,Variacion % 2017/2016
    5.2.-Resto de delitos contra la libertad e indemnidad sexual,265.0,271.0,2.3
    6.-Robos con violencia e intimidacion,1111.0,1088.0,-2.1
    7.-Robos con fuerza en domicilios establecimientos y otras instalaciones,4768.0,5058.0,6.1
    7.1.-Robos con fuerza en domicilios,3905.0,4207.0,7.7
    8.-Hurtos,12006.0,11439.0,-4.7
    9.-Sustracciones de vehiculos,988.0,1022.0,3.4
    10.-Trafico de drogas,222.0,232.0,4.5
    TOTAL INFRACCIONES PENALES,38720.0,39311.0,1.5
NAVARRA (COMUNIDAD FORAL DE)
    1.-Homicidios dolosos y asesinatos consumados,0.0,4.0,100.0
    2.-Homicidios dolosos y asesinatos en grado tentativa,4.0,19.0,375.0
    3.-Delitos graves y menos graves de lesiones y rina tumultuaria,288.0,303.0,5.2
    4.-Secuestro,3.0,1.0,-66.7
    5.-Delitos contra la libertad e indemnidad sexual,181.0,188.0,3.9
    5.1.-Agresion sexual con penetracion,30.0,21.0,-30.0
    5.2.-Resto de delitos contra la libertad e indemnidad sexual,151.0,167.0,10.6
    6.-Robos con violencia e intimidacion,347.0,353.0,1.7
    7.-Robos con fuerza en domicilios establecimientos y otras instalaciones,1144.0,1164.0,1.7
    7.1.-Robos con fuerza en domicilios,761.0,736.0,-3.3
    8.-Hurtos,6395.0,5971.0,-6.6
    9.-Sustracciones de vehiculos,167.0,129.0,-22.8
    10.-Trafico de drogas,166.0,98.0,-41.0
    TOTAL INFRACCIONES PENALES,19686.0,18799.0,-4.5
PAIS VASCO
    1.-Homicidios dolosos y asesinatos consumados,6.0,5.0,-16.7
    2.-Homicidios dolosos y asesinatos en grado tentativa,26.0,33.0,26.9
    3.-Delitos graves y menos graves de lesiones y rina tumultuaria,813.0,815.0,0.2
    4.-Secuestro,27.0,5.0,-81.5
    5.-Delitos contra la libertad e indemnidad sexual,286.0,370.0,29.4
    5.1.-Agresion sexual con penetracion,32.0,56.0,75.0
    5.2.-Resto de delitos contra la libertad e indemnidad sexual,254.0,314.0,23.6
    6.-Robos con violencia e intimidacion,1480.0,1264.0,-14.6
    7.-Robos con fuerza en domicilios establecimientos y otras instalaciones,5796.0,5013.0,-13.5
    7.1.-Robos con fuerza en domicilios,3110.0,2758.0,-11.3
    8.-Hurtos,22053.0,21105.0,-4.3
    9.-Sustracciones de vehiculos,763.0,632.0,-17.2
    10.-Trafico de drogas,253.0,259.0,2.4
    TOTAL INFRACCIONES PENALES,62224.0,61868.0,-0.6
RIOJA (LA)
    1.-Homicidios dolosos y asesinatos consumados,0.0,0.0,0.0
    2.-Homicidios dolosos y asesinatos en grado tentativa,3.0,5.0,66.7
    3.-Delitos graves y menos graves de lesiones y rina tumultuaria,96.0,96.0,0.0
    4.-Secuestro,0.0,0.0,0.0
    5.-Delitos contra la libertad e indemnidad sexual,34.0,42.0,23.5
    5.1.-Agresion sexual con penetracion,5.0,4.0,-20.0
    5.2.-Resto de delitos contra la libertad e indemnidad sexual,29.0,38.0,31.0
    6.-Robos con violencia e intimidacion,89.0,77.0,-13.5
    7.-Robos con fuerza en domicilios establecimientos y otras instalaciones,470.0,532.0,13.2
    7.1.-Robos con fuerza en domicilios,352.0,426.0,21.0
    8.-Hurtos,2110.0,1913.0,-9.3
    9.-Sustracciones de vehiculos,77.0,60.0,-22.1
    10.-Trafico de drogas,43.0,62.0,44.2
    TOTAL INFRACCIONES PENALES,5981.0,5917.0,-1.1
CIUDAD AUTONOMA DE CEUTA
    1.-Homicidios dolosos y asesinatos consumados,3.0,1.0,-66.7
    2.-Homicidios dolosos y asesinatos en grado tentativa,5.0,6.0,20.0
    3.-Delitos graves y menos graves de lesiones y rina tumultuaria,25.0,43.0,72.0
    4.-Secuestro,0.0,0.0,0.0
    5.-Delitos contra la libertad e indemnidad sexual,28.0,18.0,-35.7
    5.1.-Agresion sexual con penetracion,1.0,2.0,100.0
    5.2.-Resto de delitos contra la libertad e indemnidad sexual,27.0,16.0,-40.7
    6.-Robos con violencia e intimidacion,124.0,91.0,-26.6
    7.-Robos con fuerza en domicilios establecimientos y otras instalaciones,76.0,62.0,-18.4
    7.1.-Robos con fuerza en domicilios,52.0,42.0,-19.2
    8.-Hurtos,709.0,626.0,-11.7
    9.-Sustracciones de vehiculos,300.0,162.0,-46.0
    10.-Trafico de drogas,199.0,199.0,0.0
    TOTAL INFRACCIONES PENALES,3437.0,3466.0,0.8
CIUDAD AUTONOMA DE MELILLA
    1.-Homicidios dolosos y asesinatos consumados,1.0,0.0,-100.0
    2.-Homicidios dolosos y asesinatos en grado tentativa,5.0,6.0,20.0
    3.-Delitos graves y menos graves de lesiones y rina tumultuaria,99.0,81.0,-18.2
    4.-Secuestro,0.0,0.0,0.0
    5.-Delitos contra la libertad e indemnidad sexual,29.0,22.0,-24.1
    5.1.-Agresion sexual con penetracion,0.0,0.0,0.0
    5.2.-Resto de delitos contra la libertad e indemnidad sexual,29.0,22.0,-24.1
    6.-Robos con violencia e intimidacion,283.0,274.0,-3.2
    7.-Robos con fuerza en domicilios establecimientos y otras instalaciones,159.0,117.0,-26.4
    7.1.-Robos con fuerza en domicilios,127.0,82.0,-35.4
    8.-Hurtos,993.0,848.0,-14.6
    9.-Sustracciones de vehiculos,79.0,92.0,16.5
    10.-Trafico de drogas,70.0,47.0,-32.9
    TOTAL INFRACCIONES PENALES,3644.0,3516.0,-3.5
FUERA DE ESPANA
    1.-Homicidios dolosos y asesinatos consumados,0.0,0.0,0.0
    2.-Homicidios dolosos y asesinatos en grado tentativa,0.0,0.0,0.0
    3.-Delitos graves y menos graves de lesiones y rina tumultuaria,1.0,3.0,200.0
    4.-Secuestro,7.0,5.0,-28.6
    5.-Delitos contra la libertad e indemnidad sexual,27.0,46.0,70.4
    5.1.-Agresion sexual con penetracion,3.0,9.0,200.0
    5.2.-Resto de delitos contra la libertad e indemnidad sexual,24.0,37.0,54.2
    6.-Robos con violencia e intimidacion,174.0,187.0,7.5
    7.-Robos con fuerza en domicilios establecimientos y otras instalaciones,28.0,23.0,-17.9
    7.1.-Robos con fuerza en domicilios,19.0,14.0,-26.3
    8.-Hurtos,2155.0,2314.0,7.4
    9.-Sustracciones de vehiculos,72.0,69.0,-4.2
    10.-Trafico de drogas,11.0,7.0,-36.4
    TOTAL INFRACCIONES PENALES,13962.0,14713.0,5.4
