,Enero-junio 2018,Enero-junio 2019,Variacion % 2019/2018
    4.-Secuestro,3.0,5.0,66.7
    5.-Delitos contra la libertad e indemnidad sexual,1270.0,1427.0,12.4
    5.1.-Agresion sexual con penetracion,228.0,249.0,9.2
    5.2.-Resto de delitos contra la libertad e indemnidad sexual,1042.0,1178.0,13.1
    6.-Robos con violencia e intimidacion,10190.0,12367.0,21.4
    7.-Robos con fuerza en domicilios establecimientos y otras instalaciones,16736.0,16206.0,-3.2
    7.1.-Robos con fuerza en domicilios,12676.0,10933.0,-13.8
    8.-Hurtos,91551.0,95026.0,3.8
    9.-Sustracciones de vehiculos,4286.0,4857.0,13.3
    10.-Trafico de drogas,1249.0,1292.0,3.4
    Resto de infracciones penales,98675.0,103900.0,5.3
    TOTAL INFRACCIONES PENALES,225586.0,236771.0,5.0
COMUNITAT VALENCIANA
    1.-Homicidios dolosos y asesinatos consumados,10.0,18.0,80.0
    2.-Homicidios dolosos y asesinatos en grado tentativa,47.0,50.0,6.4
    3.-Delitos graves y menos graves de lesiones y rina tumultuaria,877.0,967.0,10.3
    4.-Secuestro,1.0,1.0,0.0
    5.-Delitos contra la libertad e indemnidad sexual,707.0,831.0,17.5
    5.1.-Agresion sexual con penetracion,74.0,86.0,16.2
    5.2.-Resto de delitos contra la libertad e indemnidad sexual,633.0,745.0,17.7
    6.-Robos con violencia e intimidacion,2410.0,2353.0,-2.4
    7.-Robos con fuerza en domicilios establecimientos y otras instalaciones,10932.0,9991.0,-8.6
    7.1.-Robos con fuerza en domicilios,8697.0,7753.0,-10.9
    8.-Hurtos,32719.0,32299.0,-1.3
    9.-Sustracciones de vehiculos,1497.0,1585.0,5.9
    10.-Trafico de drogas,865.0,913.0,5.5
    Resto de infracciones penales,60080.0,62996.0,4.9
    TOTAL INFRACCIONES PENALES,110145.0,112004.0,1.7
EXTREMADURA
    1.-Homicidios dolosos y asesinatos consumados,2.0,3.0,50.0
    2.-Homicidios dolosos y asesinatos en grado tentativa,4.0,2.0,-50.0
    3.-Delitos graves y menos graves de lesiones y rina tumultuaria,162.0,141.0,-13.0
    4.-Secuestro,0.0,0.0,0.0
    5.-Delitos contra la libertad e indemnidad sexual,106.0,99.0,-6.6
    5.1.-Agresion sexual con penetracion,10.0,7.0,-30.0
    5.2.-Resto de delitos contra la libertad e indemnidad sexual,96.0,92.0,-4.2
    6.-Robos con violencia e intimidacion,126.0,157.0,24.6
    7.-Robos con fuerza en domicilios establecimientos y otras instalaciones,1117.0,771.0,-31.0
    7.1.-Robos con fuerza en domicilios,653.0,461.0,-29.4
    8.-Hurtos,3345.0,3240.0,-3.1
    9.-Sustracciones de vehiculos,82.0,81.0,-1.2
    10.-Trafico de drogas,86.0,128.0,48.8
    Resto de infracciones penales,8110.0,8707.0,7.4
    TOTAL INFRACCIONES PENALES,13140.0,13329.0,1.4
GALICIA
    1.-Homicidios dolosos y asesinatos consumados,4.0,8.0,100.0
    2.-Homicidios dolosos y asesinatos en grado tentativa,9.0,12.0,33.3
    3.-Delitos graves y menos graves de lesiones y rina tumultuaria,444.0,456.0,2.7
    4.-Secuestro,1.0,0.0,-100.0
    5.-Delitos contra la libertad e indemnidad sexual,238.0,313.0,31.5
    5.1.-Agresion sexual con penetracion,29.0,40.0,37.9
    5.2.-Resto de delitos contra la libertad e indemnidad sexual,209.0,273.0,30.6
    6.-Robos con violencia e intimidacion,451.0,451.0,0.0
    7.-Robos con fuerza en domicilios establecimientos y otras instalaciones,2858.0,2354.0,-17.6
    7.1.-Robos con fuerza en domicilios,1816.0,1389.0,-23.5
    8.-Hurtos,9388.0,9150.0,-2.5
    9.-Sustracciones de vehiculos,281.0,287.0,2.1
    10.-Trafico de drogas,202.0,236.0,16.8
    Resto de infracciones penales,23142.0,25798.0,11.5
    TOTAL INFRACCIONES PENALES,37018.0,39065.0,5.5
MADRID (COMUNIDAD DE)
    1.-Homicidios dolosos y asesinatos consumados,16.0,17.0,6.3
    2.-Homicidios dolosos y asesinatos en grado tentativa,40.0,42.0,5.0
    3.-Delitos graves y menos graves de lesiones y rina tumultuaria,963.0,1151.0,19.5
    4.-Secuestro,6.0,8.0,33.3
    5.-Delitos contra la libertad e indemnidad sexual,925.0,1064.0,15.0
    5.1.-Agresion sexual con penetracion,113.0,118.0,4.4
    5.2.-Resto de delitos contra la libertad e indemnidad sexual,812.0,946.0,16.5
    6.-Robos con violencia e intimidacion,6802.0,7373.0,8.4
    7.-Robos con fuerza en domicilios establecimientos y otras instalaciones,9492.0,8998.0,-5.2
    7.1.-Robos con fuerza en domicilios,6239.0,5446.0,-12.7
    8.-Hurtos,77836.0,78953.0,1.4
    9.-Sustracciones de vehiculos,4516.0,4110.0,-9.0
    10.-Trafico de drogas,940.0,1174.0,24.9
    Resto de infracciones penales,93007.0,101323.0,8.9
    TOTAL INFRACCIONES PENALES,194543.0,204213.0,5.0
MURCIA (REGION DE)
    1.-Homicidios dolosos y asesinatos consumados,8.0,7.0,-12.5
    2.-Homicidios dolosos y asesinatos en grado tentativa,10.0,13.0,30.0
    3.-Delitos graves y menos graves de lesiones y rina tumultuaria,287.0,342.0,19.2
    4.-Secuestro,2.0,2.0,0.0
    5.-Delitos contra la libertad e indemnidad sexual,213.0,259.0,21.6
    5.1.-Agresion sexual con penetracion,26.0,17.0,-34.6
    5.2.-Resto de delitos contra la libertad e indemnidad sexual,187.0,242.0,29.4
    6.-Robos con violencia e intimidacion,688.0,714.0,3.8
    7.-Robos con fuerza en domicilios establecimientos y otras instalaciones,3254.0,3146.0,-3.3
    7.1.-Robos con fuerza en domicilios,2728.0,2505.0,-8.2
    8.-Hurtos,7488.0,7482.0,-0.1
    9.-Sustracciones de vehiculos,497.0,447.0,-10.1
    10.-Trafico de drogas,151.0,172.0,13.9
    Resto de infracciones penales,14374.0,15705.0,9.3
    TOTAL INFRACCIONES PENALES,26972.0,28289.0,4.9
NAVARRA (COMUNIDAD FORAL DE)
    1.-Homicidios dolosos y asesinatos consumados,3.0,3.0,0.0
    2.-Homicidios dolosos y asesinatos en grado tentativa,4.0,4.0,0.0
    3.-Delitos graves y menos graves de lesiones y rina tumultuaria,184.0,198.0,7.6
    4.-Secuestro,2.0,0.0,-100.0
    5.-Delitos contra la libertad e indemnidad sexual,131.0,118.0,-9.9
    5.1.-Agresion sexual con penetracion,22.0,14.0,-36.4
    5.2.-Resto de delitos contra la libertad e indemnidad sexual,109.0,104.0,-4.6
    6.-Robos con violencia e intimidacion,101.0,113.0,11.9
    7.-Robos con fuerza en domicilios establecimientos y otras instalaciones,698.0,807.0,15.6
    7.1.-Robos con fuerza en domicilios,457.0,497.0,8.8
    8.-Hurtos,2943.0,3387.0,15.1
    9.-Sustracciones de vehiculos,79.0,87.0,10.1
    10.-Trafico de drogas,55.0,82.0,49.1
    Resto de infracciones penales,7941.0,8395.0,5.7
    TOTAL INFRACCIONES PENALES,12141.0,13194.0,8.7
PAIS VASCO
    1.-Homicidios dolosos y asesinatos consumados,5.0,7.0,40.0
    2.-Homicidios dolosos y asesinatos en grado tentativa,16.0,18.0,12.5
    3.-Delitos graves y menos graves de lesiones y rina tumultuaria,500.0,553.0,10.6
    4.-Secuestro,0.0,4.0,100.0
    5.-Delitos contra la libertad e indemnidad sexual,320.0,262.0,-18.1
    5.1.-Agresion sexual con penetracion,52.0,44.0,-15.4
    5.2.-Resto de delitos contra la libertad e indemnidad sexual,268.0,218.0,-18.7
    6.-Robos con violencia e intimidacion,802.0,784.0,-2.2
    7.-Robos con fuerza en domicilios establecimientos y otras instalaciones,4115.0,4082.0,-0.8
    7.1.-Robos con fuerza en domicilios,2271.0,2516.0,10.8
    8.-Hurtos,13312.0,14643.0,10.0
    9.-Sustracciones de vehiculos,418.0,487.0,16.5
    10.-Trafico de drogas,171.0,217.0,26.9
    Resto de infracciones penales,23175.0,24648.0,6.4
    TOTAL INFRACCIONES PENALES,42834.0,45705.0,6.7
RIOJA (LA)
    1.-Homicidios dolosos y asesinatos consumados,0.0,0.0,0.0
    2.-Homicidios dolosos y asesinatos en grado tentativa,1.0,3.0,200.0
    3.-Delitos graves y menos graves de lesiones y rina tumultuaria,56.0,67.0,19.6
    4.-Secuestro,0.0,0.0,0.0
    5.-Delitos contra la libertad e indemnidad sexual,22.0,37.0,68.2
    5.1.-Agresion sexual con penetracion,3.0,3.0,0.0
    5.2.-Resto de delitos contra la libertad e indemnidad sexual,19.0,34.0,78.9
    6.-Robos con violencia e intimidacion,43.0,44.0,2.3
    7.-Robos con fuerza en domicilios establecimientos y otras instalaciones,338.0,297.0,-12.1
    7.1.-Robos con fuerza en domicilios,251.0,234.0,-6.8
    8.-Hurtos,1162.0,1103.0,-5.1
    9.-Sustracciones de vehiculos,45.0,26.0,-42.2
    10.-Trafico de drogas,39.0,54.0,38.5
    Resto de infracciones penales,2277.0,2664.0,17.0
    TOTAL INFRACCIONES PENALES,3983.0,4295.0,7.8
CIUDAD AUTONOMA DE CEUTA
    1.-Homicidios dolosos y asesinatos consumados,1.0,2.0,100.0
    2.-Homicidios dolosos y asesinatos en grado tentativa,0.0,15.0,100.0
    3.-Delitos graves y menos graves de lesiones y rina tumultuaria,27.0,14.0,-48.1
    4.-Secuestro,0.0,0.0,0.0
    5.-Delitos contra la libertad e indemnidad sexual,28.0,8.0,-71.4
    5.1.-Agresion sexual con penetracion,3.0,0.0,-100.0
    5.2.-Resto de delitos contra la libertad e indemnidad sexual,25.0,8.0,-68.0
    6.-Robos con violencia e intimidacion,64.0,72.0,12.5
    7.-Robos con fuerza en domicilios establecimientos y otras instalaciones,46.0,28.0,-39.1
    7.1.-Robos con fuerza en domicilios,34.0,18.0,-47.1
    8.-Hurtos,382.0,407.0,6.5
    9.-Sustracciones de vehiculos,129.0,80.0,-38.0
    10.-Trafico de drogas,100.0,126.0,26.0
    Resto de infracciones penales,1441.0,1424.0,-1.2
    TOTAL INFRACCIONES PENALES,2218.0,2176.0,-1.9
CIUDAD AUTONOMA DE MELILLA
    1.-Homicidios dolosos y asesinatos consumados,0.0,0.0,0.0
    2.-Homicidios dolosos y asesinatos en grado tentativa,0.0,3.0,100.0
    3.-Delitos graves y menos graves de lesiones y rina tumultuaria,50.0,60.0,20.0
    4.-Secuestro,0.0,0.0,0.0
    5.-Delitos contra la libertad e indemnidad sexual,14.0,16.0,14.3
    5.1.-Agresion sexual con penetracion,0.0,2.0,100.0
    5.2.-Resto de delitos contra la libertad e indemnidad sexual,14.0,14.0,0.0
    6.-Robos con violencia e intimidacion,160.0,166.0,3.8
    7.-Robos con fuerza en domicilios establecimientos y otras instalaciones,60.0,65.0,8.3
    7.1.-Robos con fuerza en domicilios,41.0,45.0,9.8
    8.-Hurtos,587.0,605.0,3.1
    9.-Sustracciones de vehiculos,36.0,39.0,8.3
    10.-Trafico de drogas,25.0,32.0,28.0
    Resto de infracciones penales,1546.0,1716.0,11.0
    TOTAL INFRACCIONES PENALES,2478.0,2702.0,9.0
EN EL EXTRANJERO
    1.-Homicidios dolosos y asesinatos consumados,0.0,1.0,100.0
    2.-Homicidios dolosos y asesinatos en grado tentativa,0.0,1.0,100.0
    3.-Delitos graves y menos graves de lesiones y rina tumultuaria,0.0,3.0,100.0
    4.-Secuestro,2.0,1.0,-50.0
    5.-Delitos contra la libertad e indemnidad sexual,21.0,34.0,61.9
    5.1.-Agresion sexual con penetracion,3.0,6.0,100.0
    5.2.-Resto de delitos contra la libertad e indemnidad sexual,18.0,28.0,55.6
    6.-Robos con violencia e intimidacion,117.0,121.0,3.4
    7.-Robos con fuerza en domicilios establecimientos y otras instalaciones,25.0,12.0,-52.0
    7.1.-Robos con fuerza en domicilios,16.0,10.0,-37.5
    8.-Hurtos,1369.0,1426.0,4.2
    9.-Sustracciones de vehiculos,51.0,49.0,-3.9
    10.-Trafico de drogas,7.0,3.0,-57.1
    Resto de infracciones penales,5531.0,5416.0,-2.1
    TOTAL INFRACCIONES PENALES,7123.0,7067.0,-0.8
