,Enero-marzo 2021,Enero-marzo 2022,Variacion % 2022/2021
    10.-Trafico de drogas,605.0,713.0,17.9
    Resto de infracciones penales,45785.0,57311.0,25.2
    TOTAL INFRACCIONES PENALES,79094.0,101888.0,28.8
MURCIA (REGION DE)
    1.-Homicidios dolosos y asesinatos consumados,2.0,3.0,50.0
    2.-Homicidios dolosos y asesinatos en grado tentativa,7.0,12.0,71.4
    3.-Delitos graves y menos graves de lesiones y rina tumultuaria,140.0,245.0,75.0
    4.-Secuestro,0.0,1.0,100.0
    5.-Delitos contra la libertad e indemnidad sexual,140.0,132.0,-5.7
    5.1.-Agresion sexual con penetracion,16.0,16.0,0.0
    5.2.-Resto de delitos contra la libertad e indemnidad sexual,124.0,116.0,-6.5
    6.-Robos con violencia e intimidacion,276.0,439.0,59.1
    7.-Robos con fuerza en domicilios establecimientos y otras instalaciones,1098.0,1321.0,20.3
    7.1.-Robos con fuerza en domicilios,879.0,977.0,11.1
    8.-Hurtos,2356.0,3304.0,40.2
    9.-Sustracciones de vehiculos,128.0,167.0,30.5
    10.-Trafico de drogas,112.0,126.0,12.5
    Resto de infracciones penales,8696.0,10051.0,15.6
    TOTAL INFRACCIONES PENALES,12955.0,15801.0,22.0
NAVARRA (COMUNIDAD FORAL DE)
    1.-Homicidios dolosos y asesinatos consumados,0.0,1.0,100.0
    2.-Homicidios dolosos y asesinatos en grado tentativa,5.0,3.0,-40.0
    3.-Delitos graves y menos graves de lesiones y rina tumultuaria,52.0,59.0,13.5
    4.-Secuestro,1.0,0.0,-100.0
    5.-Delitos contra la libertad e indemnidad sexual,38.0,72.0,89.5
    5.1.-Agresion sexual con penetracion,10.0,12.0,20.0
    5.2.-Resto de delitos contra la libertad e indemnidad sexual,28.0,60.0,114.3
    6.-Robos con violencia e intimidacion,58.0,91.0,56.9
    7.-Robos con fuerza en domicilios establecimientos y otras instalaciones,285.0,390.0,36.8
    7.1.-Robos con fuerza en domicilios,198.0,255.0,28.8
    8.-Hurtos,1090.0,1376.0,26.2
    9.-Sustracciones de vehiculos,34.0,34.0,0.0
    10.-Trafico de drogas,36.0,33.0,-8.3
    Resto de infracciones penales,4424.0,5391.0,21.9
    TOTAL INFRACCIONES PENALES,6023.0,7450.0,23.7
PAIS VASCO
    1.-Homicidios dolosos y asesinatos consumados,4.0,1.0,-75.0
    2.-Homicidios dolosos y asesinatos en grado tentativa,7.0,8.0,14.3
    3.-Delitos graves y menos graves de lesiones y rina tumultuaria,149.0,310.0,108.1
    4.-Secuestro,0.0,2.0,100.0
    5.-Delitos contra la libertad e indemnidad sexual,136.0,189.0,39.0
    5.1.-Agresion sexual con penetracion,26.0,32.0,23.1
    5.2.-Resto de delitos contra la libertad e indemnidad sexual,110.0,157.0,42.7
    6.-Robos con violencia e intimidacion,248.0,515.0,107.7
